created_at,compensated_tds_value
2023-05-14 07:47:49+00:00,237.54
2023-05-14 09:25:23+00:00,237.64
2023-05-14 10:14:12+00:00,237.55
2023-05-14 10:38:53+00:00,237.57
2023-05-14 11:03:24+00:00,237.64
2023-05-14 11:28:18+00:00,237.66
2023-05-14 13:07:53+00:00,237.57
2023-05-14 13:07:53+00:00,237.57
2023-05-14 13:58:27+00:00,237.58
2023-05-14 13:58:27+00:00,237.58
2023-05-14 14:49:04+00:00,237.63
2023-05-14 15:14:46+00:00,237.53
2023-05-14 15:14:46+00:00,237.53
2023-05-14 15:14:46+00:00,237.53
2023-05-14 16:32:09+00:00,237.58
2023-05-14 17:24:33+00:00,237.51
2023-05-14 17:24:33+00:00,237.51
2023-05-14 17:24:33+00:00,237.51
2023-05-14 17:24:33+00:00,237.51
2023-05-14 18:16:37+00:00,237.56
2023-05-14 18:43:20+00:00,237.46
2023-05-14 19:10:33+00:00,237.3
2023-05-14 20:03:51+00:00,237.44
2023-05-17 09:55:37+00:00,237.63
2023-05-17 10:53:16+00:00,237.46
2023-05-17 11:20:57+00:00,237.51
2023-05-17 12:42:28+00:00,237.56
2023-05-17 13:10:07+00:00,237.63
2023-05-17 13:10:07+00:00,237.63
2023-05-17 14:04:59+00:00,237.6
2023-05-17 14:04:59+00:00,237.6
2023-05-17 14:32:31+00:00,237.57
2023-05-17 15:28:33+00:00,237.56
2023-05-17 15:28:33+00:00,237.56
2023-05-17 15:56:23+00:00,237.63
2023-05-17 17:21:43+00:00,237.61
2023-05-18 04:47:05+00:00,237.54
2023-05-18 04:47:05+00:00,237.54
2023-05-18 04:47:05+00:00,237.54
2023-05-18 04:47:05+00:00,237.54
2023-05-18 04:48:43+00:00,237.48
2023-05-18 04:48:43+00:00,237.48
2023-05-18 04:50:01+00:00,237.55
2023-05-18 04:50:01+00:00,237.55
2023-05-18 04:51:25+00:00,237.47
2023-05-18 04:52:56+00:00,237.41
2023-05-18 04:52:56+00:00,237.41
2023-05-18 04:54:18+00:00,237.52
2023-05-18 04:54:18+00:00,237.52
2023-05-18 04:54:18+00:00,237.52
2023-05-18 04:56:02+00:00,237.42
2023-05-18 04:56:02+00:00,237.42
2023-05-18 04:56:02+00:00,237.42
2023-05-18 04:57:50+00:00,237.46
2023-05-18 04:57:50+00:00,237.46
2023-05-18 04:57:50+00:00,237.46
2023-05-18 05:01:44+00:00,237.52
2023-05-18 05:01:44+00:00,237.52
2023-05-18 05:03:48+00:00,237.48
2023-05-18 05:03:48+00:00,237.48
2023-05-18 05:03:48+00:00,237.48
2023-05-18 05:03:48+00:00,237.48
2023-05-18 05:03:48+00:00,237.48
2023-05-18 05:03:48+00:00,237.48
2023-05-18 05:05:59+00:00,237.57
2023-05-18 05:05:59+00:00,237.57
2023-05-18 05:08:16+00:00,237.49
2023-05-18 05:08:16+00:00,237.49
2023-05-18 05:08:16+00:00,237.49
2023-05-18 05:10:37+00:00,237.46
2023-05-18 05:10:37+00:00,237.46
2023-05-18 05:10:37+00:00,237.46
2023-05-18 05:10:37+00:00,237.46
2023-05-18 05:13:09+00:00,237.43
2023-05-18 05:13:09+00:00,237.43
2023-05-18 05:13:09+00:00,237.43
2023-05-18 05:13:09+00:00,237.43
2023-05-18 05:13:09+00:00,237.43
2023-05-18 05:15:45+00:00,237.53
2023-05-18 05:15:45+00:00,237.53
2023-05-18 05:15:45+00:00,237.53
2023-05-18 05:18:23+00:00,237.45
2023-05-18 05:18:23+00:00,237.45
2023-05-18 05:18:23+00:00,237.45
2023-05-18 05:21:12+00:00,237.41
2023-05-18 05:21:12+00:00,237.41
2023-05-18 05:21:12+00:00,237.41
2023-05-18 05:21:12+00:00,237.41
2023-05-18 05:24:05+00:00,237.47
2023-05-18 05:24:05+00:00,237.47
2023-05-18 05:24:05+00:00,237.47
2023-05-18 05:27:03+00:00,237.45
2023-05-18 05:27:03+00:00,237.45
2023-05-18 05:30:08+00:00,237.42
2023-05-18 05:30:08+00:00,237.42
2023-05-18 05:30:08+00:00,237.42
2023-05-18 05:33:20+00:00,237.54
2023-05-18 05:33:20+00:00,237.54
2023-05-18 05:33:20+00:00,237.54
2023-05-18 05:36:37+00:00,237.54
2023-05-18 05:36:37+00:00,237.54
2023-05-18 05:36:37+00:00,237.54
2023-05-18 05:36:37+00:00,237.54
2023-05-18 05:39:59+00:00,237.45
2023-05-18 05:43:23+00:00,237.57
2023-05-18 05:43:23+00:00,237.57
2023-05-18 05:43:23+00:00,237.57
2023-05-18 05:47:02+00:00,237.53
2023-05-18 05:47:02+00:00,237.53
2023-05-18 05:47:02+00:00,237.53
2023-05-18 05:47:02+00:00,237.53
2023-05-18 05:50:36+00:00,237.42
2023-05-18 05:54:19+00:00,237.5
2023-05-18 05:54:19+00:00,237.5
2023-05-18 05:58:06+00:00,237.49
2023-05-18 06:02:05+00:00,237.56
2023-05-18 06:06:17+00:00,237.58
2023-05-18 06:06:17+00:00,237.58
2023-05-18 06:06:17+00:00,237.58
2023-05-18 06:10:26+00:00,237.53
2023-05-18 06:10:26+00:00,237.53
2023-05-18 06:10:26+00:00,237.53
2023-05-18 06:14:48+00:00,237.56
2023-05-18 06:14:48+00:00,237.56
2023-05-18 06:14:48+00:00,237.56
2023-05-18 06:19:09+00:00,237.61
2023-05-18 06:19:09+00:00,237.61
2023-05-18 06:19:09+00:00,237.61
2023-05-18 06:19:09+00:00,237.61
2023-05-18 06:19:09+00:00,237.61
2023-05-18 06:23:38+00:00,237.57
2023-05-18 06:23:38+00:00,237.57
2023-05-18 06:23:38+00:00,237.57
2023-05-18 06:23:38+00:00,237.57
2023-05-18 06:28:12+00:00,237.6
2023-05-18 06:28:12+00:00,237.6
2023-05-18 06:28:12+00:00,237.6
2023-05-18 06:28:12+00:00,237.6
2023-05-18 06:28:12+00:00,237.6
2023-05-18 06:32:52+00:00,237.57
2023-05-18 06:32:52+00:00,237.57
2023-05-18 06:37:37+00:00,237.6
2023-05-18 06:37:37+00:00,237.6
2023-05-18 06:37:37+00:00,237.6
2023-05-18 06:42:30+00:00,237.59
2023-05-18 06:42:30+00:00,237.59
2023-05-18 06:57:36+00:00,237.6
2023-05-18 06:57:36+00:00,237.6
2023-05-18 07:02:48+00:00,237.69
2023-05-18 07:02:48+00:00,237.69
2023-05-18 07:02:48+00:00,237.69
2023-05-18 07:08:06+00:00,237.7
2023-05-18 07:08:06+00:00,237.7
2023-05-18 07:13:38+00:00,237.71
2023-05-18 07:13:38+00:00,237.71
2023-05-18 07:13:38+00:00,237.71
2023-05-18 07:13:38+00:00,237.71
2023-05-18 07:19:09+00:00,237.73
2023-05-18 07:19:09+00:00,237.73
